Designator,Footprint,Quantity,Value,LCSC Part #
"CBLK3, CBLK4, CBLK5, CBLK6, CBLK7, CBLK8",CP_Elec_18x17.5,6,470u,
"CBLKA1, CBLKA2, CBULK2, CIN1B2",CP_Elec_10x10,4,100uF,
"CBLKA3, CBLKA4, CIN1A1, CIN1B1",CP_Elec_10x10,4,47uF,
"CBOOT1, CBOOT3, CCS1, CCS2, CCS3, CCS4, CCS5, CCS6, CCS7, CCS8, CVDDA1, CVDDA2",0603,12,100n,
"CBOOT2, COUT3A1",0603,2,100nF,
CBULK1,CP_Elec_10x10,1,220uF,
"CCOMP1, CCOMP2",0603,2,6.8nF,
"CCSF1, CCSF2, CCSF4, CCSF5, CCSF6, CCSF7, CCSF8",0603,7,10n,
CFF1,0603,1,20pF,
"CHF1, CHF2",0603,2,100pF,
"CHF4A1, CIN3A1",0805,2,220nF,
CIN2A1,1210,1,4.7uF,
"CIN2B1, CIN2B2, CIN3B1, CIN3B2, CIN4B1, CIN4B2, CINC1, CINC2, CINC3, CINC4, CINC5, CINC6, CINC7, CINC8",1210,14,4.7u,
"CIN5A1, CIN5B1, CIN5B2, CINC10, CINC11, CINC12, CINC9, COUT4B1, COUT4B2",0805,9,100nF,
"COUT1A1, COUT2A1",1210,2,47uF,
"COUT1B1, COUT1B2, COUT2B1, COUT2B2, COUT3B1, COUT3B2",1210,6,22uF,
"CVCC1, CVCC2",0805,2,2.2u,
CVCCA1,0805,1,1uF,
"D1, D10, D2, D3, D4, D5, D6, D7, D8",D_SMC,9,TVS,
"F2, F3, F4, F5, F6, F7",LITTELFUSE_178.6165.0002,6,~,
"J10, J7, J8, J9",AMASS_XT30UPB-F_1x02_P5.0mm_Vertical,4,Conn_01x02_MountingPin,
J5,"PhoenixContact_MC_1,5_2-G-3.81_1x02_P3.81mm_Horizontal",1,24V Out -> Jetson,
J6,"PhoenixContact_MC_1,5_2-G-3.81_1x02_P3.81mm_Horizontal",1,24V Out -> USB-C-PD controller,
JESTOP1,MountingHole_5.3mm_M5_Pad,1,ESTOP_IN,
JESTOP2,MountingHole_5.3mm_M5_Pad,1,ESTOP_OUT,
L1,MSS1038183MLC,1,18uH,
L2,L_Coilcraft_XAL8080-XXX,1,10uH,
L3,L_Coilcraft_XAL8080-XXX,1,4.7uH,
"Q4, Q5, Q6, Q7, Q8",VSONP-8-1EP_5x6_P1.27mm,5,NMOS,
"RCOMP1, RCOMP2",0603,2,4.75k,
"RCON1, RCON2",0603,2,41.2k,
"RCSF1, RCSF2, RCSF4, RCSF5, RCSF6, RCSF7, RCSF8",0603,7,1k,
RDIV1,0603,1,1M,
RDIV2,0603,1,24.9k,
RENB1,0603,1,43.2k,
RENT1,0603,1,100k,
"RESTOP1, RESTOP2",0603,2,100,
RESTOP3,0603,1,4.3k 1W,
"RESTOP4, RFB2B1, RFB2B2, RPD1, RPU1",0603,5,10k,
"RFB1, RFB2",0603,2,4.7R,
RFB1A1,0603,1,64.9k,
RFB1A2,0603,1,291k,
RFBC1,0603,1,1.65M,
RFBS1,0603,1,49.9k,
RGND1,0603,1,0R,
RPRE1,0603,1,80R,
"RSEN1, RSEN2",2512,2,0.002R,
"RSF1, RSF2",0603,2,47k,
U1,SOT95P280X145-6N,1,TLV3011AIDBVT,
"U10, U11, U12, U4, U5, U8, U9",XDCR_ACS758LCB-100U-PFF-T,7,ACS758LCB-100U-PFF-T,
U2,QFN50P550X350X100-25N,1,LM5148RGYR,
U3,RNX0012B,1,LMR36015ARNXR,
U6,SOT95P280X145-6N,1,UCC27511DBVR,
