Designator,Mid X,Mid Y,Rotation,Layer
CBLK3,381.0,-57.5,270.0,top
CBLK4,402.5,-57.5,270.0,top
CBLK5,424.0,-57.5,270.0,top
CBLK6,381.0,-94.5,90.0,top
CBLK7,402.5,-94.5,90.0,top
CBLK8,424.0,-94.5,90.0,top
CBLKA1,432.8,-246.8,270.0,top
CBLKA2,454.8,-249.8,0.0,top
CBLKA3,501.0,-209.8,180.0,top
CBLKA4,502.2,-166.4,180.0,top
CBOOT1,236.8,-258.3,0.0,top
CBOOT2,487.5,-63.5,0.0,top
CBOOT3,78.525,-27.275,0.0,top
CBULK1,257.7,-267.8,90.0,top
CBULK2,65.475,-112.625,180.0,top
CCOMP1,231.82,-266.9675,270.0,top
CCOMP2,78.525,-32.295,0.0,top
CCS1,275.3,-252.4,0.0,top
CCS2,453.0,-47.0,0.0,top
CCS3,78.525,-39.825,0.0,top
CCS4,495.2,-150.4,180.0,top
CCS5,78.525,-44.845,0.0,top
CCS6,82.535,-22.255,0.0,top
CCS7,82.535,-24.765,0.0,top
CCS8,82.535,-27.275,0.0,top
CCSF1,275.3,-250.5,0.0,top
CCSF2,449.8,-47.0,180.0,top
CCSF4,496.0,-148.0,90.0,top
CCSF5,82.535,-37.315,0.0,top
CCSF6,82.535,-39.825,0.0,top
CCSF7,82.535,-42.335,0.0,top
CCSF8,82.535,-44.845,0.0,top
CFF1,486.5,-71.0,180.0,top
CHF1,233.32,-265.3675,270.0,top
CHF2,86.545,-27.275,0.0,top
CHF4A1,491.0,-69.5,0.0,top
CIN1A1,481.0,-53.0,180.0,top
CIN1B1,225.7,-236.1,0.0,top
CIN1B2,79.56,-112.625,180.0,top
CIN2A1,491.475,-72.5,0.0,top
CIN2B1,226.915,-249.99,0.0,top
CIN2B2,57.795,-60.225,0.0,top
CIN3A1,491.0,-61.0,0.0,top
CIN3B1,226.915,-246.64,0.0,top
CIN3B2,57.795,-68.725,0.0,top
CIN4B1,226.915,-243.34,0.0,top
CIN4B2,63.445,-51.725,0.0,top
CIN5A1,491.0,-63.5,0.0,top
CIN5B1,227.49,-252.64,0.0,top
CIN5B2,79.795,-63.145,0.0,top
CINC1,422.6,-250.2,270.0,top
CINC10,468.2,-258.2,270.0,top
CINC11,493.8,-204.0,90.0,top
CINC12,494.2,-161.2,90.0,top
CINC2,418.8,-255.0,0.0,top
CINC3,461.6,-258.8,90.0,top
CINC4,465.2,-258.8,90.0,top
CINC5,487.2,-203.4,270.0,top
CINC6,490.8,-203.4,270.0,top
CINC7,487.6,-160.6,270.0,top
CINC8,491.2,-160.6,270.0,top
CINC9,419.4,-258.2,180.0,top
COUT1A1,495.5,-51.0,180.0,top
COUT1B1,241.7725,-237.75,90.0,top
COUT1B2,69.095,-72.975,0.0,top
COUT2A1,495.5,-56.0,180.0,top
COUT2B1,245.0625,-237.675,90.0,top
COUT2B2,74.745,-60.225,0.0,top
COUT3A1,495.0,-48.0,180.0,top
COUT3B1,248.3625,-237.675,90.0,top
COUT3B2,74.745,-68.725,0.0,top
COUT4B1,251.0725,-238.05,90.0,top
COUT4B2,88.695,-51.105,0.0,top
CVCC1,236.92,-265.5675,270.0,top
CVCC2,88.695,-57.125,0.0,top
CVCCA1,484.0,-65.0,0.0,top
CVDDA1,235.12,-265.3925,90.0,top
CVDDA2,86.545,-34.805,0.0,top
D1,49.55,-24.875,0.0,top
D10,111.48,-55.875,0.0,top
D2,49.55,-32.625,0.0,top
D3,248.4,-267.5,270.0,top
D4,475.4,-271.0,180.0,top
D5,413.6,-262.4,90.0,top
D6,479.8,-196.4,270.0,top
D7,479.8,-239.4,270.0,top
D8,49.55,-79.125,0.0,top
F2,235.35,-227.9,270.0,top
F3,192.375,-46.425,0.0,top
F4,474.6,-163.8,0.0,top
F5,474.6,-206.6,0.0,top
F6,466.45,-244.7,270.0,top
F7,443.95,-244.9,270.0,top
J10,503.2,-235.2,180.0,top
J5,116.15,-25.86,0.0,top
J6,127.32,-25.86,0.0,top
J7,503.2,-269.6,180.0,top
J8,404.2,-269.4,0.0,top
J9,503.2,-191.2,180.0,top
JESTOP1,503.2,-118.5,0.0,top
JESTOP2,503.2,-134.8,0.0,top
L1,503.0,-67.7,0.0,top
L2,235.92,-247.4,180.0,top
L3,76.83,-125.69,0.0,top
Q4,234.6725,-254.795,0.0,top
Q5,241.5,-254.805,0.0,top
Q6,90.255,-99.766757,0.0,top
Q7,90.255,-106.430676,0.0,top
Q8,90.255,-113.094595,0.0,top
RCOMP1,231.045,-264.6675,0.0,top
RCOMP2,86.545,-42.335,0.0,top
RCON1,228.82,-266.9675,90.0,top
RCON2,90.555,-22.255,0.0,top
RCSF1,275.3,-248.6,0.0,top
RCSF2,447.4,-47.0,90.0,top
RCSF4,495.2,-145.6,0.0,top
RCSF5,90.555,-32.295,0.0,top
RCSF6,90.555,-34.805,0.0,top
RCSF7,90.555,-37.315,0.0,top
RCSF8,90.555,-39.825,0.0,top
RDIV1,108.505,-23.955,0.0,top
RDIV2,108.505,-26.465,0.0,top
RENB1,484.0,-68.0,90.0,top
RENT1,486.5,-69.0,180.0,top
RESTOP1,104.005,-53.255,0.0,top
RESTOP2,104.005,-55.765,0.0,top
RESTOP3,104.005,-58.275,0.0,top
RESTOP4,104.005,-60.785,0.0,top
RFB1,305.5,-159.0,0.0,top
RFB1A1,305.5,-163.0,0.0,top
RFB1A2,228.2,-260.2,90.0,top
RFB2,94.565,-24.765,0.0,top
RFB2B1,100.5,-30.0,0.0,top
RFB2B2,226.7,-263.225,90.0,top
RFBC1,108.505,-33.995,0.0,top
RFBS1,228.22,-263.2425,270.0,top
RGND1,483.825,-25.5,0.0,top
RPD1,100.5,-34.805,0.0,top
RPRE1,94.565,-37.315,0.0,top
RPU1,108.505,-36.505,0.0,top
RSEN1,236.3,-240.7,0.0,top
RSEN2,81.925,-72.015,0.0,top
RSF1,230.32,-266.9675,90.0,top
RSF2,94.565,-42.335,0.0,top
U1,113.71,-37.105,0.0,top
U10,434.925,-263.8,90.0,top
U11,488.725,-180.0,90.0,top
U12,488.7665,-223.0,90.0,top
U2,234.27,-261.4825,90.0,top
U3,488.875001,-66.5,270.0,top
U4,451.797427,-62.225,180.0,top
U5,260.175,-250.49,90.0,top
U6,89.48,-66.875,0.0,top
U8,479.725,-148.4,90.0,top
U9,488.525,-256.4,90.0,top
